RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
56.800655,47,2,51,30.9,0.48404768,0,196.65947,1
60.617455,52,15,33,29.9,0.4832457,0.025055554,173.92416,1
61.514034,47,41,12,29.9,0.51305354,0.078146435,196.08015,1
60.43355,71,3,25,29.8,0.4636742,0.011468868,196.38226,1
68.46964,39,61,0,24.1,0.7389915,0.001804272,467.3516,0
60.42297,69,20,11,25.5,0.6260028,0.017335728,295.9245,0
54.976097,84,9,7,23.4,0.3749587,0.0010669,278.32913,0
64.16396,87,12,1,24,0.30656248,0.001486671,969.26984,0
60.11586,4,90,6,28.5,0.66271603,3.427308,870.57733,0
57.7522,1,89,10,27.6,0.6640295,0.4637023,869.89655,0
59.202797,77,18,5,29.4,0.41107878,0.061403234,223.89545,0
72.97858,72,28,0,26.7,0.48487285,8.8088665,1179.1654,0
58.886,54,46,0,28,0.46221554,0.22202107,949.87427,0
65.11471,16,83,0,30.2,0.03282543,0.7060631,673.7505,0
55.005768,12,87,1,30.8,0.29903746,0.046360042,141.91536,0
65.07098,70,30,0,27.2,0.43282694,7.9231443,1254.515,0
57.006443,10,81,9,29.1,0.5949266,0.4491633,478.95422,0
67.13452,40,56,4,27,0.5518628,2.1813037,312.72064,0
64.016495,92,8,0,29.9,0.439169,0.16663504,698.9127,0
56.73841,86,12,3,29,0.66017133,0.1717721,530.8336,0
63.022575,48,48,4,26.8,0.60794437,0.005009335,200.79245,0
63.271805,100,0,0,27.9,0.24810821,0.22037718,125.627625,0
63.42651,44,52,5,29.1,0.39535558,0.01425444,197.74063,0
61.62929,53,47,0,27.2,0.5533024,5.4862943,996.83014,0
59.642113,10,80,10,28.6,0.50372237,0.009609632,438.76828,0
58.759644,89,10,1,28.2,0.39368463,0.6080003,348.9846,0
54.688614,65,17,17,30.5,0.33801162,0.70331913,211.66888,0
59.7211,100,0,0,30.8,0.08693325,0.6367924,171.17303,0
55.70953,76,0,24,30.7,0.32841355,0.027110536,114.99578,0
50.044643,43,57,0,29.3,0.44235948,0.19033726,929.9617,0
61.587532,81,18,1,30.1,0.36465636,5.051554,529.3579,0
63.57143,15,85,0,27.7,0.49277523,6.125818,1017.77,0
58.694126,82,16,2,28.9,0.53719646,0.024573911,243.23755,0
56.910374,36,0,64,30.5,0.09219261,0.024588678,140.36841,0
59.28693,42,58,0,29.6,0.5405762,0.13345213,1184.9686,0
56.38907,90,9,1,29.9,0.11727119,0.065774314,171.06305,0
55.994267,66,34,0,30.3,0.44962284,0.6394266,315.28442,0
81.1231,46,47,7,23,0.36803448,4.290055,844.0036,0
58.059063,41,57,2,27.4,0.40119466,0.8471361,770.9749,0
62.304955,66,0,34,30.5,0.104156,0.43838996,137.12492,0
57.092495,14,77,9,30,0.57401425,0.21017341,308.05368,0
61.72821,2,87,11,28.3,0.50152355,2.672137,493.60886,0
60.176598,49,50,1,25.9,0.49500462,0.016356919,410.56293,0
55.072746,10,84,6,28.1,0.5521235,0.3530009,423.21652,0
58.63385,12,88,0,27.8,0.5577334,6.898319,948.2865,0
64.661095,41,11,49,28.2,0.5785024,1.7794334,643.6445,0
63.899487,90,1,9,30.5,0.031967107,0.64236593,223.36485,0
63.562622,89,11,0,29.4,0.6315946,5.0333853,816.86835,0
63.83777,96,2,1,30.1,0.50024265,2.4115248,490.9863,0
70.08291,36,20,44,26.4,0.43924204,0.3458895,824.5453,0
59.343918,42,26,33,30.6,0.33885482,0.014334551,132.11923,0
63.27301,44,20,35,30,0.45359087,0.35590848,66.33434,0
68.78682,88,11,0,24.5,0.4313851,3.0316622,1097.2872,0
64.45153,77,1,22,23.6,0.48892838,1.9559518,152.85107,0
71.34442,62,0,38,27.7,-0.09211433,4.0799456,94.33991,0
78.91835,11,86,3,24,0.6160196,0.1814983,1441.2515,0
62.59757,37,63,0,25.6,0.4994372,0.3682181,1031.9363,0
66.50077,90,9,1,29.7,0.48470724,3.8089952,604.529,0
60.530594,26,73,0,29.1,0.54362386,2.7152057,1189.2472,0
59.846554,87,13,0,30.7,0.39579394,0.014718227,467.29697,0
60.60694,16,18,67,30.4,0.54934907,0.29784524,378.01947,0
64.7434,65,35,0,30.7,0.02502688,2.2887692,850.4355,0
59.544086,75,25,0,29.5,0.5740406,7.8498397,921.5913,0
57.696533,66,34,0,28,0.49002656,0.042718474,651.33545,0
58.01535,0,70,29,25.5,0.61819404,0.071453504,1620.1849,0
66.31147,82,17,1,28.7,-0.047925986,0.29685396,441.5943,0
59.46131,72,26,2,29.2,0.34002525,0.2116967,713.38806,0
60.986824,61,39,0,27.8,0.62543124,0.34990302,657.2659,0
62.088985,88,11,0,29.1,0.58559537,0.92380214,529.5181,0
71.313324,21,77,1,28.6,-0.05583664,1.2726219,746.06635,0
62.65641,72,0,28,29.5,0.106767595,0.05913604,503.4247,0
68.93609,84,13,3,23.5,0.34664565,5.42048,1450.3667,0
63.958485,39,49,12,29.5,0.59667706,1.9575428,418.58792,0
71.33155,30,69,1,25.4,0.60273683,0.23184165,727.21423,0
64.67426,88,12,0,29.2,0.47183576,0.9940087,539.59644,0
64.66127,73,2,25,29.8,-3.40E+38,0.048500754,460.0139,0
67.34466,74,23,3,28.3,0.3042007,0.20549746,539.7236,0
75.46033,18,75,7,24.7,0.28409538,9.399951,1170.7794,0
68.286865,16,0,84,27.4,0.55529046,0.000571628,478.13675,0
65.23591,21,79,0,28.2,0.6895514,0.90539074,625.2964,0
65.28981,40,60,0,28.4,0.59774756,5.458563,790.5009,0
64.34675,0,35,65,29.3,0.5021094,0.68195343,320.57913,0
65.46358,31,68,1,27.4,0.63281953,2.0012994,713.4612,0
63.38171,21,71,8,27.7,0.09655638,1.3732522,631.85754,0
61.93329,11,82,7,28.8,0.5049192,0.87239987,387.2685,0
60.92085,89,0,11,29.5,0.38439083,0.5560272,223.558,0
66.08845,52,48,0,25.8,0.5410736,4.499139,1051.779,0
66.64592,91,9,0,29.6,0.20847729,0.866898,579.77893,0
64.58835,9,85,7,27.2,0.49097148,9.109544,1468.107,0
66.77756,81,12,7,29.7,0.43907043,0.1051015,238.6674,0
65.49473,19,72,9,27.6,0.48808235,0.22244005,381.58966,0
62.63746,52,44,4,26.1,0.46826473,0.77093995,1653.2657,0
79.57731,35,65,0,24.9,0.6335103,21.577969,1411.6694,0
75.788376,21,60,18,24.8,0.42033368,1.5602119,302.44952,0
70.13214,70,16,14,27.4,0.49660406,4.269591,523.29224,0
70.07125,19,81,0,27.5,0.6360133,9.101145,748.15125,0
69.96342,91,4,4,30,0.06636291,3.1377454,269.0435,0
68.580864,97,0,3,29.5,0.019668575,0.53423196,275.558,0
66.54781,5,87,8,25.6,0.42653817,7.3463225,1102.6884,0
64.12556,89,11,0,29.4,0.3713839,0.20684823,675.5191,0
61.584236,93,0,7,30,0.3483146,0.49331507,409.3509,0
65.20859,66,34,0,27.7,0.181514,0.03648598,527.0817,0
58.288387,5,87,9,29.1,0.56238353,0.32840765,312.53748,0
63.889465,53,40,8,30.5,0.3417384,0.29233232,121.660614,0
59.787155,47,53,0,29.4,0.65686774,0.22314605,368.81412,0
57.77018,70,1,30,31,0.28228632,0.01134817,111.47237,0
57.98368,72,0,28,30.5,0.3786081,0.09084809,243.06398,0
55.109474,51,0,49,30.8,0.31929165,0.26180872,193.41068,0
57.419353,98,2,0,29.2,0.56353486,0.03345457,204.10284,0
60.547928,21,72,6,29.1,0.34195745,0.9660187,1723.1364,0
68.527214,41,53,5,27.6,0.5798607,3.9245949,937.1559,0
74.02588,75,10,16,28.3,0.4340315,4.493302,148.43755,0
63.362186,100,0,0,29,0.025984094,1.595818,199.24634,0
77.38781,56,41,3,23.6,0.45578864,24.499815,1778.5544,0
63.264416,44,9,47,23.4,0.44403875,0.22161081,174.05971,0
70.14925,25,74,1,22.8,0.64282256,0.9079756,972.3462,0
69.88956,98,1,1,26.5,0.077106394,0.23654713,198.7983,0
55.824387,84,1,16,29,0.51710784,0.6094508,857.4179,0
62.825375,47,53,0,27.6,0.70366716,0.22824182,1242.1252,0
68.05872,3,72,25,30.1,0.4669286,0.044269275,345.70642,0
77.45035,92,8,0,19.7,0.43455222,6.920331,1513.1185,0
73.887535,23,75,1,21.5,0.49655813,0.32470483,356.51447,0
63.283905,52,46,2,27.5,-0.016035894,0.14590427,397.25818,0
