RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
63.37639,89,6,6,27.2,0.3751748,0.0041278857,180.56824,1
71.1646,61,23,16,26.3,0.52258456,3.1710677,351.31662,1
65.22691,31,3,66,29.3,0.28743595,1.4167475,171.80548,1
72.69801,72,0,28,27.6,0.3231193,0.0085757375,267.82718,1
66.21821,54,0,46,26.6,0.45280015,0.010182235,108.16777,1
66.21821,42,0,58,26.6,0.45280015,0.010182235,108.16777,1
81.95083,0,0,100,14.0,0.40325513,1.5520755,681.9397,1
53.556557,80,6,14,25.9,0.55059814,0.47040626,671.6644,1
55.29815,35,56,10,25.3,0.6417487,0.7710218,1444.7507,1
63.057816,52,36,12,25.6,0.58000785,0.013458461,362.39584,1
49.912224,88,12,0,27.2,0.38828412,0.057793297,313.0621,1
61.768208,58,0,42,30.7,0.3139245,0.014131317,132.88528,1
57.35408,1,1,97,30.8,0.27371863,0.12758566,247.92007,1
65.87165,56,1,42,24.8,0.3868236,0.4126147,147.94948,1
64.769966,96,4,0,28.2,0.50951713,2.3139837,2463.3164,0
75.43265,100,0,0,24.9,0.4571163,4.5513053,350.3555,0
65.7632,95,0,5,23.9,0.36126116,0.30573496,261.1876,0
8.28569,0,0,100,14.4,0.23328573,0.0,116.274376,0
62.479645,37,33,30,19.2,0.5237779,0.08517805,99.24066,0
69.568756,8,4,88,10.7,0.31833518,1.6286975,115.35078,0
51.822186,17,6,77,21.8,0.36883634,0.22703855,74.49371,0
62.344406,0,0,100,25.4,0.20573068,0.0057079787,164.10806,0
64.25051,29,70,1,27.4,0.41122782,23.60969,1183.3792,0
59.995518,21,79,0,24.2,0.5361849,2.075323,576.8333,0
59.542526,66,0,33,28.4,0.38779065,0.039954137,155.38687,0
68.71934,15,84,1,28.9,0.6541122,6.7122645,1550.4147,0
53.716713,27,6,66,13.7,0.36561975,0.642138,84.73865,0
